latitude,longitude,ID,Region
-21,20,San,Africa
-25.6,24.25,BantuSouthafrica,Africa
-3,37,BantuKenia,Africa
1,29,Mbuti,Africa
4,17,Biaka,Africa
8,5,Yorubas,Africa
12,-12,Mandenka,Africa
32,3,Mozabite,Africa
31,35,Bedouin,MidEast
32,35,Palestinians,MidEast
32,35,Druze,MidEast
44,39,Adygei,MidEast
46,10,BergamoItalian,Europe
43,11,Tuscan,Europe
40,9,Sardinian,Europe
43,0,Basque,Europe
46,2,French,Europe
59,-3,Orcadian,Europe
61,40,Russian,Europe
30.5,66.5,Balochi,Asia
30.5,66.5,Brahui,Asia
26,64,Makrani,Asia
25.5,69,Sindhi,Asia
36,71.5,Kalash,Asia
33.5,70,Hazara,Asia
33.5,70.5,Pathan,Asia
36.5,74,Burusho,Asia
44,81,Uygur,Asia
43.5,81.5,Xibo,Asia
28,103,Yi,Asia
26,100,Naxi,Asia
22,100,Lahu,Asia
21,100,Dai,Asia
12,105,Cambodian,Asia
27,119,She,Asia
32.3,114,Han,Asia
28,109,Miao,Asia
29,109,Tujia,Asia
34.7,107.8,NorthHan,Asia
36,101,Tu,Asia
50.4,126.5,Oroqen,Asia
48.5,124,Daur,Asia
47.5,133.5,Hezhen,Asia
37.5,139,Japonese,Asia
63,129.5,Yakut,Asia
48.5,119,Mongolian,Asia
-6.1,145.4,PapuanHighlands,Oceania
-4,143,PapuanSepik,Oceania
-6,155,Bougainville,Oceania
29,-108,Pima,NAmerica
19,-91,Maya,NAmerica
3,-68,Colombian,SAmerica
-10,-63,Karitina,SAmerica
-11,-62,Surui,SAmerica
