,Lon,Lat,Neolithic,Urbanization,Interval,PC1Neolithic,PC2Neolithic,PC1urbanization,PC2urbanization,PC1Currenttime,PC2Currenttime,Total.Pathogen.Stress,Alpha,DistanceAfrica,AUC_complex
Adygei,39,44,7000,1000,6000,0.160498115,-0.457860955,0.323904174,0.330029225,0.593776864,0.787802973,11,0.394712644,4940.674078,47347.97944
Balochi,66.5,30.5,9000,6000,3000,-0.850573452,-3.701293607,-0.5500419,-3.524826109,-0.898006226,-3.424292535,13,0.269655172,6627.700932,37866.73044
BantuKenya,37,-3,4000,1000,3000,1.106346426,-2.520524692,1.173367622,-2.551035217,0.972834773,-2.351231095,19,0.101609195,0,9210.992686
BantuSouthAfrica,24.25,-25.6,1800,520,1280,-0.201101004,-3.034928533,-0.276018285,-3.047010922,-0.358283927,-3.068040446,11,0.039126437,0,9210.992686
Basque,0,43,6000,3000,3000,0.467037813,-0.803139594,0.607141675,-0.601491186,0.136170788,-0.541391301,9,0.313793103,6862.659265,21371.58725
Bedouin,35,31,11650,6000,5650,-0.292104877,-3.140600737,-0.043615363,-3.25157146,-0.120668682,-3.10941416,12,0.394648276,3630.589745,47347.97944
BergamoItalian,10,46,8000,3000,5000,-0.880299163,0.361203253,-0.462874939,0.700855307,-0.596614747,0.816070116,11,0.314252874,6093.341394,23091.50136
Biaka,17,4,4500,1000,3500,2.450317093,-1.506214391,2.597485471,-1.377601387,2.28383632,-1.58178952,18,0.062666667,0,1027.678771
Bougainville,155,-6,9000,50,8950,6.594925513,3.78706648,6.266842542,3.984334972,6.266842542,3.984334972,15,0.018712644,16935.34968,372.3324921
Brahui,66.5,30.5,9000,6000,3000,-0.850573452,-3.701293607,-0.5500419,-3.524826109,-0.898006226,-3.424292535,13,0.269655172,6627.700932,37866.73044
Burusho,74,36.5,8000,3000,5000,-3.775303346,-0.773303505,-3.435051322,-0.588254533,-3.429573179,0.064771542,11,0.265977012,7261.248228,37866.73044
Cambodian,105,12,4500,1000,3500,2.422275456,-2.582652305,2.465744572,-2.622688169,2.484740993,-2.324577556,14,0.095632184,11046.19103,11830.25337
Colombian,-68,3,7500,1000,6500,4.750364952,0.929683561,4.973790065,1.459437966,4.935081972,1.535666725,11,0.102528736,23926.61986,3258.429518
Dai,100,21,4500,1000,3500,1.664388828,-1.938143962,1.83701258,-1.79510936,1.729203251,-1.657711819,11,0.097701149,10129.59899,362.9505421
Daur,124,48.5,6000,3000,3000,-2.385103134,-2.248923557,-2.463630018,-2.212216168,-2.658019634,-2.235690137,8,0.172873563,10998.77408,14889.6273
Druze,35,32,11650,6000,5650,0.205901841,-2.622284307,0.544889677,-2.688987435,0.205901841,-2.622284307,12,0.394648276,3672.897276,47347.97944
French,2,46,6000,2000,4000,0.229161955,-0.230803779,0.038143856,-0.184958111,-0.041322621,-0.048496615,9,0.305977012,6703.724537,21371.58725
Han,114,32.3,10000,4000,6000,-0.34649246,-2.054191492,0.186558212,-1.918449682,0.215822651,-1.838538112,14,0.220211494,10917.54246,45528.34576
Hazara,70,33.5,9000,6000,3000,-0.617110938,-2.077665232,-0.286024956,-1.864292853,-0.139592949,-1.860559479,13,0.265977012,6918.210539,37866.73044
Hezhen,133.5,47.5,6000,2000,4000,-2.318448394,-1.81689931,-2.386063602,-1.656007241,-2.403422766,-1.704619331,8,0.172873563,11681.84951,14889.6273
Japanese,139,37.5,5000,3000,2000,0.742981667,0.593756973,0.873976142,0.665692767,2.533637414,2.387076044,16,0.033103448,12651.73554,13498.77874
Kalash,71.5,36,8000,4000,4000,-2.418273418,-1.000725351,-2.363509134,-0.852647792,-2.123229519,0.745364613,13,0.265977012,7039.261921,37866.73044
Karitiana,-63,-10,7000,1000,6000,3.566666092,-0.180176877,3.077346223,-0.797910704,2.574018788,-1.490618553,16,0.102528736,25222.1613,4518.707945
Lahu,100,22,4500,2000,2500,1.488743146,-1.914168524,1.616324577,-1.779538051,1.339771693,-1.809116422,11,0.097701149,10085.26998,362.9505421
