,TD_WG,TD_MHC,TD_ClassII,TD_ClassIII,TD_ClassI,hetWG,HetMHC,HetClassI,HetClassII,HetClassIII
Adygei,1.925218396,1.404941982,1.902863421,-1.399388182,1.9060572,0.037456863,0.063411355,0.07545704,0.130828146,0.013152942
Balochi,1.705041693,2.234634365,2.475996508,1.73168375,2.252508046,0.036753179,0.05995938,0.077749382,0.105071179,0.009727808
BantuKenya,1.143827512,1.84599971,2.178377241,2.288143333,1.653513333,0.048616252,0.059230237,0.057787998,0.138545027,0.004983806
BantuSouthAfrica,0.674880392,1.455301216,1.622606111,0.2895925,1.009176429,0.049085153,0.051774466,0.050459074,0.126065012,0.015254671
Basque,2.114839594,1.992577055,2.385520821,2.481444286,1.55422675,0.036309947,0.067119297,0.058675988,0.167000359,0.015698334
Bedouin,1.170921494,2.332601992,2.428080355,1.637278571,2.438780933,0.037969107,0.068323289,0.073938604,0.151094366,0.011810295
BergamoItalian,1.801204078,1.163572642,2.196663659,-0.734447,-0.172739444,0.036736472,0.063001954,0.063677204,0.149048102,0.010841127
Biaka,1.475208627,2.16362705,2.280327465,2.379294444,2.138311778,0.050664623,0.065057263,0.072836083,0.139689273,0.009223031
Bougainville,1.839874391,1.180050602,0.567062321,0.919341818,1.859908571,0.032587946,0.036896402,0.049512974,0.078899042,0.008485714
Brahui,1.698200589,2.006568073,2.199575,0.991646842,2.067864154,0.037698953,0.063121788,0.068334283,0.131129954,0.011840802
Burusho,1.890705046,1.991895634,2.500710674,1.813481111,1.983430921,0.037984785,0.071620886,0.076488729,0.151411214,0.021971164
Cambodian,1.657457709,1.198904268,1.540585,2.084861667,0.545160938,0.035717179,0.066620053,0.06555713,0.135461912,0.032799485
Colombian,1.763579683,1.15506478,0.456610299,0.468678571,1.745069259,0.029529465,0.04696579,0.068534897,0.077882607,-0.007877419
Dai,1.730729093,1.606942302,2.088085672,-0.678978333,1.27299775,0.034196522,0.051435008,0.052767393,0.105575369,0.018980762
Daur,1.766654284,1.413310323,2.110865313,-0.630995,0.816864,0.035406255,0.074328132,0.081644424,0.160960453,0.010258167
Druze,1.947695995,2.364911481,2.503752992,-0.344203333,2.527694404,0.036966038,0.060369219,0.060211637,0.136507295,0.010388794
French,1.897201845,2.211913611,2.41340128,1.424065,2.164684677,0.036941277,0.076254082,0.078541317,0.169039789,0.021132894
Han,1.898723733,2.284016434,2.677670789,1.1115,2.181320463,0.035010594,0.06597615,0.06750125,0.142529929,0.018663334
Hazara,1.878949291,1.943991688,2.244256486,0.1445525,1.888382239,0.037712215,0.06780287,0.064363818,0.155743905,0.022047107
Hezhen,1.777049003,1.641118732,2.0155425,2.02967,1.359829878,0.035063274,0.063555059,0.061017599,0.143824598,0.023616942
Japanese,2.05887886,2.636302692,2.676718851,2.399353125,2.632347,0.034928894,0.073688421,0.0663676,0.169860742,0.0270972
Kalash,2.22987556,2.338255852,2.35666114,2.107044667,2.340545056,0.036208176,0.08192163,0.087977694,0.172977538,0.021725343
Karitiana,2.086630309,2.32575011,2.189620147,2.5476925,2.462915082,0.02746119,0.041631614,0.048276192,0.087623369,-0.000458793
Lahu,1.745761565,2.092643826,2.101993939,0,2.162102955,0.034272924,0.059879794,0.055412939,0.117057482,0.031130792
Makrani,1.475162039,1.777893547,1.850799091,0.989442,2.17793386,0.037838008,0.057364762,0.064950396,0.114238666,0.015633774
Mandenka,1.421486776,2.156646867,2.603928523,1.899272667,1.580716875,0.048071616,0.054138516,0.064868947,0.118296234,0.005768655
Maya,1.910991485,1.874859722,2.033977222,2.48619125,1.76480504,0.032825367,0.062225108,0.072776538,0.137482445,0.015218983
Mbuti,1.498229864,1.79388689,1.632923721,2.18676,2.104325,0.048102402,0.049483044,0.059924486,0.11886101,0.003459114
Miao,1.820255605,1.252692149,1.848649,0.418324,0.557739149,0.034606501,0.058147415,0.065080159,0.124063631,0.003994749
Mongolian,1.734089711,1.825852619,2.163351091,2.37605,1.583795263,0.035741998,0.060071764,0.068927989,0.125110556,0.009469239
Mozabite,1.480172869,2.283288427,2.608498866,2.3394425,2.0527825,0.040937597,0.066185088,0.077303082,0.129566119,0.01864215
Naxi,1.711849684,0.945412155,1.323563898,0,0.457472037,0.034895744,0.061779913,0.052271317,0.145169863,0.025501263
NorthernHan,1.815753681,1.711432376,2.249653167,-0.620597778,1.331695769,0.035505958,0.073952554,0.084067873,0.146799977,0.018996383
Orcadian,1.998261619,2.29931,2.32466963,2.515023333,2.190044444,0.036736356,0.06837423,0.053969983,0.17243574,0.023691835
Oroqen,1.771025175,0.700005055,2.258644524,-1.4714575,-0.423096786,0.034923382,0.063701765,0.055792279,0.158843302,0.018808896
Palestinian,1.261726502,2.050830615,2.487612377,0.689010417,2.1157125,0.03859461,0.068888118,0.078326418,0.141353441,0.015548724
PapuanHighlands,1.752823402,0.979981753,0.54967875,2.31746,1.381696757,0.030154675,0.045374231,0.05574148,0.091078916,0.022307326
PapuanSepik,1.68252594,1.037027917,0.392940732,2.1200325,1.126822435,0.030623944,0.03060793,0.038552764,0.056154601,0.00085086
Pathan,1.834465315,2.023586821,2.315189195,-0.264755,2.073136066,0.037233103,0.073980108,0.078549817,0.155698634,0.020209118
Pima,2.133863688,1.601498233,1.637982079,-1.45222,1.947598851,0.029503689,0.054479184,0.058321539,0.126484351,0.003679267
Russian,2.007537134,2.320921854,2.463408843,2.067265833,2.09452,0.037274008,0.066553824,0.075247773,0.138938122,0.016593799
San,1.233346342,1.222127093,2.0000914,2.06005,-0.034022903,0.048572228,0.050512772,0.043998497,0.130249519,0.013468533
Sardinian,1.96937942,2.240560144,2.334918804,2.24387,2.413092759,0.036387712,0.069292464,0.071956986,0.153005832,0.011726393
She,1.863000369,1.863851642,1.63323973,-0.492145385,2.325399859,0.034559361,0.066689236,0.068183581,0.137769662,0.021980118
Sindhi,1.577611314,1.65953755,2.356760816,-1.108622,1.509077284,0.037897019,0.062787074,0.064184978,0.139430602,0.013980574
Surui,1.930536276,2.268056147,2.318643182,2.243506,2.186144787,0.026087955,0.035748188,0.039383571,0.095312698,-0.001649555
Tu,1.751126843,2.053949829,2.367154783,-1.419787143,2.174798276,0.035631924,0.073408471,0.097698286,0.12861818,0.011295166
Tujia,1.727384095,1.60898084,1.889429231,2.647286667,1.286406721,0.034716535,0.0614302,0.060953329,0.136625014,0.018691478
Tuscan,1.618424278,0.46161193,1.873905,-1.089262222,-0.528350476,0.037147511,0.060456985,0.065138935,0.124432041,0.022996729
Uygur,1.626205415,1.786184432,2.194803958,2.212865,1.144393235,0.037879389,0.069235879,0.065343,0.156114627,0.021504391
Xibo,1.710558813,1.233908131,2.089789464,-1.02954,0.63066225,0.035569461,0.068979254,0.072242489,0.147940894,0.013578172
Yakut,2.056673297,2.387889398,2.547502675,1.0937825,2.301005086,0.035517223,0.084893608,0.092384969,0.175193225,0.029440694
