Inf,NGA,Time,V1,V2
1,Big Island Hawaii,1000,-4.354728003,-4.545182599
2,Big Island Hawaii,1200,-4.236787133,-4.145571831
3,Big Island Hawaii,1300,-4.114438949,-4.050415799
4,Big Island Hawaii,1400,-3.674560993,-3.835204118
5,Big Island Hawaii,1500,-3.508529863,-3.60590082
6,Big Island Hawaii,1600,-4.22358021,-4.197406535
7,Big Island Hawaii,1700,-2.545152137,-2.338453434
8,Big Island Hawaii,1800,-2.17244762,-2.355494892
9,Cahokia,-600,-5.918389794,-5.524037494
10,Cahokia,-100,-5.587922195,-5.606252229
11,Cahokia,300,-5.687052682,-5.916293534
12,Cahokia,500,-5.704191706,-5.52716907
13,Cahokia,600,-5.395691699,-5.737181744
14,Cahokia,800,-4.671510798,-4.686058587
15,Cahokia,900,-4.111876413,-4.149500896
16,Cahokia,1000,-3.970615875,-4.009121362
17,Cahokia,1100,-2.566672651,-2.63804226
18,Cahokia,1200,-2.556513498,-2.614494003
19,Cahokia,1300,-2.984122823,-3.071685465
20,Cahokia,1400,-4.004373575,-4.12819673
21,Cambodian Basin,300,0.744358486,0.912493656
22,Cambodian Basin,600,0.811895123,0.799314549
23,Cambodian Basin,700,1.527038832,1.510527598
24,Cambodian Basin,800,1.740142263,1.720144875
25,Cambodian Basin,900,2.651003687,2.69209688
26,Cambodian Basin,1000,2.335341614,2.452334798
27,Cambodian Basin,1100,2.623569775,2.580188538
28,Cambodian Basin,1300,2.218943703,2.488393437
29,Cambodian Basin,1500,2.347103926,2.32443317
30,Cambodian Basin,1600,2.224795341,2.212024189
31,Cambodian Basin,1700,2.272271388,2.069547465
32,Cambodian Basin,1800,2.165334403,2.097479275
33,Central Java,800,0.670223544,0.706441216
34,Central Java,900,0.71731039,0.753234394
35,Central Java,1100,1.418090017,1.476567001
36,Central Java,1200,1.197900606,1.361342753
37,Central Java,1300,1.913319969,1.9717213
38,Central Java,1600,1.812936491,2.224260979
39,Chuuk Islands,1800,-4.306612831,-4.394754654
40,Chuuk Islands,1900,-1.321894029,-1.135054513
41,Cuzco,100,-3.492325369,-3.867069746
42,Cuzco,200,-4.03238898,-4.074115802
43,Cuzco,300,-3.74881761,-4.031776348
44,Cuzco,400,-4.166551264,-3.915585319
45,Cuzco,500,-3.919746381,-4.232841455
46,Cuzco,700,-1.096199496,-1.174833185
47,Cuzco,1000,-3.544196276,-3.248177458
48,Cuzco,1300,-2.522493239,-2.326315972
49,Cuzco,1400,-0.098112719,-0.164109619
50,Cuzco,1500,0.029549586,-0.029509329
51,Deccan,-2700,-3.39206087,-3.809861256
52,Deccan,-1200,-3.939829418,-4.072154756
53,Deccan,-900,-3.715239905,-3.305423001
54,Deccan,-500,-3.09579678,-2.956115146
55,Deccan,-100,1.755230697,1.727299468
56,Deccan,0,1.757461907,1.735647393
57,Deccan,100,1.766602945,1.742092007
